order_id,order_date,ship_date,ship_mode,customer_name,segment,country,market,region,product_id,category,sub_category,sales,quantity,discount,profit,shipping_cost,order_priority,year
MX-2011-159373,2011-01-04,2011-01-08,Standard Class,Arthur Wiediger,Home Office,Cuba,LATAM,Caribbean,FUR-CH-10004827,Furniture,Chairs,38,1,0,6.88,4.25,Medium,2011
MX-2011-159373,2011-01-04,2011-01-08,Standard Class,Arthur Wiediger,Home Office,Cuba,LATAM,Caribbean,TEC-AC-10003081,Technology,Accessories,38,2,0,2.24,3.94,Medium,2011
MX-2011-159373,2011-01-04,2011-01-08,Standard Class,Arthur Wiediger,Home Office,Cuba,LATAM,Caribbean,OFF-EN-10002816,Office Supplies,Envelopes,39,3,0,7.68,3.51,Medium,2011
IT-2011-2942451,2011-01-04,2011-01-09,Standard Class,Grant Thornton,Corporate,United Kingdom,EU,North,OFF-AR-10002485,Office Supplies,Art,27,2,0.5,-21.9,2.11,Medium,2011
CA-2011-103800,2011-01-04,2011-01-08,Standard Class,Darren Powers,Consumer,United States,US,Central,OFF-PA-10000174,Office Supplies,Paper,16,2,0.2,5.55,1.82,High,2011
IN-2011-33036,2011-01-04,2011-01-08,Standard Class,Bradley Drucker,Consumer,Japan,APAC,North Asia,OFF-LA-10000784,Office Supplies,Labels,27,3,0,13.68,1.54,Medium,2011
IT-2011-2942451,2011-01-04,2011-01-09,Standard Class,Grant Thornton,Corporate,United Kingdom,EU,North,OFF-ST-10001426,Office Supplies,Storage,17,2,0.5,-1.05,0.9,Medium,2011
SU-2011-5190,2011-01-04,2011-01-08,Standard Class,Jasper Cacioppo,Consumer,Sudan,Africa,Africa,OFF-BOS-10004950,Office Supplies,Art,15,1,0,2.61,0.82,Medium,2011
SU-2011-5190,2011-01-04,2011-01-08,Standard Class,Jasper Cacioppo,Consumer,Sudan,Africa,Africa,OFF-AVE-10003279,Office Supplies,Binders,6,1,0,2.1,0.51,Medium,2011
MX-2011-109267,2011-01-05,2011-01-09,Standard Class,Jennifer Halladay,Consumer,Mexico,LATAM,North,OFF-AP-10004245,Office Supplies,Appliances,3029,8,0,999.36,191.2,Medium,2011
ES-2011-3848439,2011-01-05,2011-01-07,First Class,Michael Granlund,Home Office,France,EU,Central,OFF-AR-10001291,Office Supplies,Art,207,4,0,76.56,20.64,Medium,2011
ES-2011-3848439,2011-01-05,2011-01-07,First Class,Michael Granlund,Home Office,France,EU,Central,OFF-AR-10000833,Office Supplies,Art,90,3,0,20.52,15.27,Medium,2011
CA-2011-112326,2011-01-05,2011-01-09,Standard Class,Phillina Ober,Home Office,United States,US,Central,OFF-ST-10002743,Office Supplies,Storage,273,3,0.2,-64.77,13.59,High,2011
IN-2011-27681,2011-01-05,2011-01-11,Standard Class,Shaun Weien,Consumer,Taiwan,APAC,North Asia,FUR-FU-10000394,Furniture,Furnishings,49,1,0,22.92,5.82,Low,2011
CA-2011-112326,2011-01-05,2011-01-09,Standard Class,Phillina Ober,Home Office,United States,US,Central,OFF-LA-10003223,Office Supplies,Labels,12,3,0.2,4.27,0.99,High,2011
CA-2011-112326,2011-01-05,2011-01-09,Standard Class,Phillina Ober,Home Office,United States,US,Central,OFF-BI-10004094,Office Supplies,Binders,4,2,0.8,-5.49,0.55,High,2011
ES-2011-5496179,2011-01-06,2011-01-09,Second Class,Shahid Hopkins,Consumer,France,EU,Central,FUR-FU-10000468,Furniture,Furnishings,324,3,0,35.64,39.98,High,2011
IN-2011-29963,2011-01-06,2011-01-10,Standard Class,Brosina Hoffman,Consumer,Indonesia,APAC,Southeast Asia,OFF-ST-10000344,Office Supplies,Storage,50,3,0.17,6.01,6.2,High,2011
ID-2011-41632,2011-01-06,2011-01-13,Standard Class,Robert Dilbeck,Home Office,Vietnam,APAC,Southeast Asia,OFF-ST-10001631,Office Supplies,Storage,90,2,0.17,29.27,3.62,Medium,2011
IN-2011-29963,2011-01-06,2011-01-10,Standard Class,Brosina Hoffman,Consumer,Indonesia,APAC,Southeast Asia,OFF-FA-10000549,Office Supplies,Fasteners,41,7,0.47,-27.09,2.63,High,2011
ID-2011-41632,2011-01-06,2011-01-13,Standard Class,Robert Dilbeck,Home Office,Vietnam,APAC,Southeast Asia,OFF-PA-10003407,Office Supplies,Paper,39,3,0.17,11.59,2.45,Medium,2011
AO-2011-4910,2011-01-06,2011-01-11,Standard Class,Grace Kelly,Corporate,Angola,Africa,Africa,TEC-LOG-10003079,Technology,Accessories,28,1,0,12.72,2,Medium,2011
IN-2011-76107,2011-01-06,2011-01-10,Standard Class,Khloe Miller,Consumer,China,APAC,North Asia,OFF-EN-10002166,Office Supplies,Envelopes,31,1,0,13.11,1.96,High,2011
CA-2011-141817,2011-01-06,2011-01-13,Standard Class,Mick Brown,Consumer,United States,US,East,OFF-AR-10003478,Office Supplies,Art,20,3,0.2,4.88,1.85,Low,2011
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,Maria Etezadi,Home Office,United States,US,South,FUR-CH-10004063,Furniture,Chairs,2574,9,0,746.41,258.99,High,2011
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,Maria Etezadi,Home Office,United States,US,South,OFF-BI-10004632,Office Supplies,Binders,610,2,0,274.49,88.07,High,2011
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,Maria Etezadi,Home Office,United States,US,South,TEC-PH-10004977,Technology,Phones,392,2,0,113.67,62.37,High,2011
MZ-2011-1260,2011-01-07,2011-01-10,First Class,Stewart Visinsky,Consumer,Mozambique,Africa,Africa,OFF-ELD-10001694,Office Supplies,Storage,256,2,0,46.02,52.46,High,2011
ID-2011-58670,2011-01-07,2011-01-11,Standard Class,Maribeth Schnelling,Consumer,Philippines,APAC,Southeast Asia,TEC-MA-10000868,Technology,Machines,445,7,0.25,-136.71,46.97,High,2011
ID-2011-58670,2011-01-07,2011-01-11,Standard Class,Maribeth Schnelling,Consumer,Philippines,APAC,Southeast Asia,TEC-AC-10003413,Technology,Accessories,274,2,0.45,-44.84,42.19,High,2011
ES-2011-5433855,2011-01-07,2011-01-08,First Class,Dave Poirier,Corporate,France,EU,Central,OFF-ST-10004855,Office Supplies,Storage,716,4,0.1,143.16,32.46,Medium,2011
ID-2011-58670,2011-01-07,2011-01-11,Standard Class,Maribeth Schnelling,Consumer,Philippines,APAC,Southeast Asia,TEC-MA-10004482,Technology,Machines,388,3,0.25,25.81,26.2,High,2011
LE-2011-9590,2011-01-07,2011-01-11,Standard Class,Harry Marie,Corporate,Lebanon,EMEA,EMEA,TEC-HP -10000464,Technology,Copiers,174,1,0,71.46,23.84,High,2011
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,Maria Etezadi,Home Office,United States,US,South,TEC-PH-10004539,Technology,Phones,756,4,0,204.11,13.82,High,2011
MZ-2011-1260,2011-01-07,2011-01-10,First Class,Stewart Visinsky,Consumer,Mozambique,Africa,Africa,OFF-STA-10004885,Office Supplies,Art,45,1,0,8.49,13.7,High,2011
ES-2011-5433855,2011-01-07,2011-01-08,First Class,Dave Poirier,Corporate,France,EU,Central,OFF-FA-10002071,Office Supplies,Fasteners,33,3,0,2.25,9.73,Medium,2011
ES-2011-5433855,2011-01-07,2011-01-08,First Class,Dave Poirier,Corporate,France,EU,Central,FUR-BO-10000265,Furniture,Bookcases,155,1,0.1,36.23,5.72,Medium,2011
CA-2011-130813,2011-01-07,2011-01-09,Second Class,Lycoris Saunders,Consumer,United States,US,West,OFF-PA-10002005,Office Supplies,Paper,19,3,0,9.33,4.37,High,2011
AG-2011-7230,2011-01-07,2011-01-11,Standard Class,Alyssa Crouse,Corporate,Algeria,Africa,Africa,OFF-STA-10000244,Office Supplies,Art,91,2,0,14.58,4.36,Medium,2011
MX-2011-135629,2011-01-07,2011-01-07,Same Day,Dorothy Dickinson,Consumer,Brazil,LATAM,South,OFF-FA-10001871,Office Supplies,Fasteners,43,4,0,6,3.94,High,2011
MX-2011-135629,2011-01-07,2011-01-07,Same Day,Dorothy Dickinson,Consumer,Brazil,LATAM,South,OFF-BI-10000136,Office Supplies,Binders,19,3,0,2.4,3.69,High,2011
CA-2011-106054,2011-01-07,2011-01-08,First Class,Jack OBriant,Corporate,United States,US,South,OFF-AR-10002399,Office Supplies,Art,13,3,0,5.24,3.51,Critical,2011
ID-2011-58670,2011-01-07,2011-01-11,Standard Class,Maribeth Schnelling,Consumer,Philippines,APAC,Southeast Asia,OFF-AR-10003684,Office Supplies,Art,27,1,0.45,-4.49,3.21,High,2011
LE-2011-9590,2011-01-07,2011-01-11,Standard Class,Harry Marie,Corporate,Lebanon,EMEA,EMEA,FUR-ADV-10000847,Furniture,Furnishings,26,1,0,7.38,2.88,High,2011
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,Maria Etezadi,Home Office,United States,US,South,OFF-FA-10001883,Office Supplies,Fasteners,31,4,0,0.31,2.19,High,2011
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,Maria Etezadi,Home Office,United States,US,South,OFF-PA-10000955,Office Supplies,Paper,7,1,0,3.01,1.13,High,2011
ID-2011-28752,2011-01-07,2011-01-12,Standard Class,Adam Bellavance,Home Office,Singapore,APAC,Southeast Asia,OFF-LA-10002875,Office Supplies,Labels,18,2,0,5.46,0.89,Medium,2011
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,Maria Etezadi,Home Office,United States,US,South,OFF-AR-10001662,Office Supplies,Art,5,2,0,1.48,0.52,High,2011
IT-2011-5134922,2011-01-07,2011-01-10,First Class,Joy Smith,Consumer,Netherlands,EU,Central,OFF-AR-10000316,Office Supplies,Art,5,1,0.5,-0.11,0.28,Medium,2011
AO-2011-1670,2011-01-08,2011-01-13,Standard Class,Henia Zydlo,Consumer,Angola,Africa,Africa,FUR-IKE-10001539,Furniture,Bookcases,2479,6,0,49.5,349.87,High,2011
IN-2011-19330,2011-01-08,2011-01-12,Second Class,Nicole Fjeld,Home Office,China,APAC,North Asia,TEC-MA-10002468,Technology,Machines,2174,7,0,260.82,275.52,Medium,2011
IT-2011-4546695,2011-01-08,2011-01-14,Standard Class,Darren Powers,Consumer,France,EU,Central,FUR-BO-10003103,Furniture,Bookcases,987,6,0.6,-1011.64,65.64,Medium,2011
MX-2011-121202,2011-01-08,2011-01-13,Second Class,Christopher Martinez,Consumer,Guatemala,LATAM,Central,OFF-ST-10002471,Office Supplies,Storage,397,3,0,182.52,33.67,Medium,2011
CA-2011-105417,2011-01-08,2011-01-13,Standard Class,Vivek Sundaresam,Consumer,United States,US,Central,FUR-FU-10004864,Furniture,Furnishings,77,3,0.6,-53.71,6.69,Medium,2011
MX-2011-121202,2011-01-08,2011-01-13,Second Class,Christopher Martinez,Consumer,Guatemala,LATAM,Central,OFF-BI-10002937,Office Supplies,Binders,50,7,0,20.3,5.66,Medium,2011
IT-2011-4546695,2011-01-08,2011-01-14,Standard Class,Darren Powers,Consumer,France,EU,Central,OFF-AR-10000110,Office Supplies,Art,116,5,0.5,-55.65,3.91,Medium,2011
NI-2011-4770,2011-01-08,2011-01-11,Second Class,Joe Elijah,Consumer,Nigeria,Africa,Africa,OFF-AVE-10000608,Office Supplies,Binders,5,2,0.7,-4.54,0.82,High,2011
CA-2011-105417,2011-01-08,2011-01-13,Standard Class,Vivek Sundaresam,Consumer,United States,US,Central,OFF-BI-10003708,Office Supplies,Binders,10,7,0.8,-18.25,0.63,Medium,2011
ID-2011-20814,2011-01-09,2011-01-13,Standard Class,Ed Braxton,Corporate,Indonesia,APAC,Southeast Asia,TEC-PH-10001730,Technology,Phones,240,2,0.17,-11.6,34.99,High,2011
IN-2011-69366,2011-01-09,2011-01-14,Standard Class,Alejandro Grove,Consumer,Vietnam,APAC,Southeast Asia,TEC-AC-10000354,Technology,Accessories,177,6,0.47,-156.68,17.09,Medium,2011
ID-2011-46483,2011-01-09,2011-01-13,Standard Class,Sample Company A,Home Office,Philippines,APAC,Southeast Asia,OFF-ST-10001342,Office Supplies,Storage,158,5,0.45,-2.98,10.08,High,2011
IN-2011-69366,2011-01-09,2011-01-14,Standard Class,Alejandro Grove,Consumer,Vietnam,APAC,Southeast Asia,TEC-PH-10003823,Technology,Phones,124,2,0.17,32.79,7.93,Medium,2011
ID-2011-46483,2011-01-09,2011-01-13,Standard Class,Sample Company A,Home Office,Philippines,APAC,Southeast Asia,OFF-FA-10000577,Office Supplies,Fasteners,52,7,0.45,4.59,5.55,High,2011
IN-2011-69366,2011-01-09,2011-01-14,Standard Class,Alejandro Grove,Consumer,Vietnam,APAC,Southeast Asia,OFF-LA-10000668,Office Supplies,Labels,45,5,0.17,17.89,3.31,Medium,2011
ID-2011-46483,2011-01-09,2011-01-13,Standard Class,Sample Company A,Home Office,Philippines,APAC,Southeast Asia,OFF-PA-10003405,Office Supplies,Paper,9,1,0.45,-1.72,0.69,High,2011
IN-2011-69366,2011-01-09,2011-01-14,Standard Class,Alejandro Grove,Consumer,Vietnam,APAC,Southeast Asia,OFF-BI-10003874,Office Supplies,Binders,10,2,0.17,0.07,0.25,Medium,2011
IN-2011-61302,2011-01-10,2011-01-11,First Class,Dan Lawera,Consumer,Australia,APAC,Oceania,TEC-PH-10004664,Technology,Phones,2875,5,0.1,511.1,665.27,Medium,2011
HU-2011-1380,2011-01-10,2011-01-10,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,EMEA,FUR-IKE-10002894,Furniture,Bookcases,363,1,0,159.87,134.59,Critical,2011
HU-2011-1380,2011-01-10,2011-01-10,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,EMEA,TEC-CAN-10004354,Technology,Copiers,589,4,0,276.6,114.15,Critical,2011
EG-2011-4260,2011-01-10,2011-01-12,Second Class,Sanjit Jacobs,Home Office,Egypt,Africa,Africa,FUR-CHR-10004803,Furniture,Tables,968,2,0,445.26,80.13,High,2011
HU-2011-1380,2011-01-10,2011-01-10,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,EMEA,OFF-SAN-10003226,Office Supplies,Paper,142,6,0,63.9,67.79,Critical,2011
HU-2011-1380,2011-01-10,2011-01-10,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,EMEA,OFF-SAN-10000874,Office Supplies,Art,155,6,0,54.18,58.32,Critical,2011
HU-2011-1380,2011-01-10,2011-01-10,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,EMEA,TEC-EPS-10000774,Technology,Machines,156,2,0,23.4,52.91,Critical,2011
AG-2011-1070,2011-01-10,2011-01-15,Second Class,Tiffany House,Corporate,Algeria,Africa,Africa,OFF-HOO-10001783,Office Supplies,Appliances,309,1,0,61.71,31.41,Medium,2011
US-2011-101091,2011-01-10,2011-01-16,Standard Class,Jocasta Rupert,Consumer,Venezuela,LATAM,South,TEC-CO-10001818,Technology,Copiers,425,3,0.4,-278.79,26.72,Medium,2011
HU-2011-1380,2011-01-10,2011-01-10,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,EMEA,OFF-EAT-10002068,Office Supplies,Paper,53,2,0,0,16.06,Critical,2011
IT-2011-3659171,2011-01-10,2011-01-14,Standard Class,Greg Guthrie,Corporate,United Kingdom,EU,North,OFF-ST-10004695,Office Supplies,Storage,206,3,0.5,-41.27,14.65,Medium,2011
HU-2011-1380,2011-01-10,2011-01-10,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,EMEA,OFF-CAM-10001249,Office Supplies,Envelopes,42,1,0,1.65,13.08,Critical,2011
MX-2011-140697,2011-01-10,2011-01-15,Standard Class,Paul MacIntyre,Consumer,Mexico,LATAM,North,OFF-ST-10002251,Office Supplies,Storage,114,3,0,56.88,8.93,Medium,2011
IN-2011-13065,2011-01-10,2011-01-11,First Class,Patrick ODonnell,Consumer,China,APAC,North Asia,OFF-SU-10003559,Office Supplies,Supplies,26,2,0,5.4,5.86,High,2011
IN-2011-61302,2011-01-10,2011-01-11,First Class,Dan Lawera,Consumer,Australia,APAC,Oceania,OFF-LA-10000879,Office Supplies,Labels,30,4,0.1,12.1,5.54,Medium,2011
IN-2011-13065,2011-01-10,2011-01-11,First Class,Patrick ODonnell,Consumer,China,APAC,North Asia,OFF-BI-10002853,Office Supplies,Binders,34,3,0,16.11,5.26,High,2011
HU-2011-1380,2011-01-10,2011-01-10,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,EMEA,TEC-STA-10000546,Technology,Machines,37,1,0,5.55,4.32,Critical,2011
IN-2011-61302,2011-01-10,2011-01-11,First Class,Dan Lawera,Consumer,Australia,APAC,Oceania,OFF-PA-10003731,Office Supplies,Paper,162,6,0.1,53.69,3.02,Medium,2011
HU-2011-1380,2011-01-10,2011-01-10,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,EMEA,OFF-SAN-10001128,Office Supplies,Art,11,1,0,2.61,2.59,Critical,2011
HU-2011-1380,2011-01-10,2011-01-10,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,EMEA,OFF-AVE-10000357,Office Supplies,Binders,11,1,0,2.4,2.03,Critical,2011
SF-2011-6400,2011-01-10,2011-01-14,Standard Class,Ricardo Sperren,Corporate,South Africa,Africa,Africa,OFF-ACC-10003422,Office Supplies,Binders,17,1,0,4.65,1.29,Medium,2011
CA-2011-135405,2011-01-10,2011-01-14,Standard Class,Melanie Seite,Consumer,United States,US,Central,TEC-AC-10001266,Technology,Accessories,31,3,0.2,9.75,1.13,Medium,2011
ID-2011-13660,2011-01-10,2011-01-15,Second Class,Brian Dahlen,Consumer,Thailand,APAC,Southeast Asia,OFF-FA-10003615,Office Supplies,Fasteners,12,3,0.47,-5.68,1.04,Medium,2011
MX-2011-140697,2011-01-10,2011-01-15,Standard Class,Paul MacIntyre,Consumer,Mexico,LATAM,North,OFF-SU-10003739,Office Supplies,Supplies,16,1,0,1.76,0.89,Medium,2011
CA-2011-135405,2011-01-10,2011-01-14,Standard Class,Melanie Seite,Consumer,United States,US,Central,OFF-AR-10004078,Office Supplies,Art,9,2,0.2,1.17,0.21,Medium,2011
ES-2011-5158390,2011-01-11,2011-01-11,Same Day,Roy Collins,Consumer,United Kingdom,EU,North,FUR-CH-10004255,Furniture,Chairs,1384,3,0,13.77,178.98,Medium,2011
US-2011-163874,2011-01-11,2011-01-12,First Class,Philip Fox,Consumer,Mexico,LATAM,North,OFF-ST-10003741,Office Supplies,Storage,1323,10,0,238,103.84,Medium,2011
US-2011-163874,2011-01-11,2011-01-12,First Class,Philip Fox,Consumer,Mexico,LATAM,North,FUR-BO-10002214,Furniture,Bookcases,452,5,0.2,-107.3,57.75,Medium,2011
IN-2011-39308,2011-01-11,2011-01-18,Standard Class,David Flashing,Consumer,Indonesia,APAC,Southeast Asia,TEC-PH-10002806,Technology,Phones,554,4,0.17,40.05,42.43,Medium,2011
IN-2011-79761,2011-01-11,2011-01-16,Standard Class,Steve Carroll,Home Office,Philippines,APAC,Southeast Asia,TEC-CO-10001895,Technology,Copiers,697,3,0.35,-343.1,40.16,Medium,2011
US-2011-163874,2011-01-11,2011-01-12,First Class,Philip Fox,Consumer,Mexico,LATAM,North,TEC-PH-10002755,Technology,Phones,245,5,0,88,39.11,Medium,2011
IN-2011-39308,2011-01-11,2011-01-18,Standard Class,David Flashing,Consumer,Indonesia,APAC,Southeast Asia,OFF-AR-10003613,Office Supplies,Art,334,9,0.27,13.47,23.56,Medium,2011
ES-2011-4359424,2011-01-11,2011-01-15,Standard Class,Dorothy Dickinson,Consumer,Spain,EU,South,FUR-TA-10001693,Furniture,Tables,268,2,0.6,-341.74,21.49,High,2011
ES-2011-5158390,2011-01-11,2011-01-11,Same Day,Roy Collins,Consumer,United Kingdom,EU,North,OFF-AR-10001599,Office Supplies,Art,103,2,0,19.5,20.54,Medium,2011
IN-2011-39308,2011-01-11,2011-01-18,Standard Class,David Flashing,Consumer,Indonesia,APAC,Southeast Asia,FUR-FU-10001096,Furniture,Furnishings,188,5,0.27,2.47,15.77,Medium,2011
IN-2011-29872,2011-01-11,2011-01-15,Standard Class,Dianna Vittorini,Consumer,India,APAC,Central Asia,FUR-FU-10001471,Furniture,Furnishings,142,3,0,52.38,15.62,High,2011
TU-2011-800,2011-01-11,2011-01-15,Standard Class,Chuck Sachs,Consumer,Turkey,EMEA,EMEA,FUR-SAF-10003540,Furniture,Bookcases,157,2,0.6,-117.72,12.45,High,2011
ID-2011-82589,2011-01-11,2011-01-15,Standard Class,Tanja Norvell,Home Office,New Zealand,APAC,Oceania,OFF-EN-10000128,Office Supplies,Envelopes,115,4,0.4,-47.83,10.52,Medium,2011
ES-2011-1466305,2011-01-11,2011-01-15,Standard Class,Mick Brown,Consumer,Austria,EU,Central,OFF-ST-10003446,Office Supplies,Storage,97,2,0,31.02,7.99,High,2011
IN-2011-79761,2011-01-11,2011-01-16,Standard Class,Steve Carroll,Home Office,Philippines,APAC,Southeast Asia,FUR-FU-10000256,Furniture,Furnishings,78,2,0.25,23.78,7.09,Medium,2011
